userId,title,movieId,rating
59014,Pulp Fiction,110912,9
59014,Raging Bull,81398,9
59014,The Matrix Revolutions,242653,3
60169,Hitler - Eine Karriere,191182,6
60169,Srpski film,1273235,9
60169,Vivarium,8368406,5
60169,We Were Soldiers,277434,1
60169,Wounds,5913798,7
278527, Monk:,312172,6
278527,The Thing on the Doorstep,2193450,6
556667,Harry Potter and the Deathly Hallows: Part 1,926084,7
556667,Harry Potter and the Half-Blood Prince,417741,8
556667,How to Murder Your Wife,58212,4
556667,The 10th Kingdom,207275,7
556667,The Wizard of Oz,32138,9
1515595,Pulp Fiction,110912,10
1839938,Spenser Confidential,8629748,1
2373030,30 Days of Night: Dark Days,1320304,5
2373030,6 Underground,8106534,8
2373030,Alita: Battle Angel,437086,8
2373030,Assassination,92585,5
2373030,Band of the Hand,90693,5
2373030,Burn After Reading,887883,8
2373030,Dragged Across Concrete,6491178,8
2373030,Escape to Athena,79117,7
2373030,I Don't Feel at Home in This World Anymore.,5710514,8
2373030,Jack Ryan,5057054,10
2373030,Jason and the Argonauts,57197,8
2373030,Lonesome Dove,96639,10
2373030,Love and Bullets,79488,4
2373030,Mr. & Mrs. Smith,356910,8
2373030,Rooster Cogburn,73636,7
2373030,Shutter Island,1130884,5
2373030,Skyline,1564585,6
2373030,Spenser Confidential,8629748,8
2373030,The Da Vinci Code,382625,5
2373030,The General's Daughter,144214,6
2373030,The Heroes of Telemark,59263,8
2373030,The Outsider,2198241,7
2373030,The Pledge,237572,6
2373030,To Live and Die in L.A.,90180,8
2488512,1917,8579674,7
2488512, Dracula:,9139220,3
2488512, The Walking Dead:,1520211,7
2488512, The Witcher:,5180504,5
2488512, Vikings:,2306299,7
2488512,A Rainy Day in New York,7139936,6
2488512,Bloodshot,1634106,5
2488512,Chernobyl,7366338,9
2488512,Code 8,6259380,5
2488512,Countdown,10039344,6
2488512,Doctor Sleep,5606664,7
2488512,Freaks,8781414,6
2488512,Gisaengchung,6751668,7
2488512,Knives Out,8946378,7
2488512,Once Upon a Time... in Hollywood,7131622,5
2488512,Primal,7394816,3
2488512,Spenser Confidential,8629748,7
2488512,Terminator: Dark Fate,6450804,6
2488512,The Addams Family,1620981,6
2488512,The Invisible Man,1051906,5
2488512,The Lighthouse,7984734,7
2488512,The Outfit,71960,7
2614660,A Beautiful Day in the Neighborhood,3224458,9
2614660,Angel on My Shoulder,38300,6
2614660,Honey Boy,8151874,4
2614660,Knives Out,8946378,4
2696560,The Girl Next Door,265208,10
2696560,The Passion of the Christ,335345,10
3092424,The Passion of the Christ,335345,10
3146136,Abigail,7025388,5
3146136,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,7713068,7
3146136,Bombshell,6394270,8
3146136,Charlie's Angels,5033998,4
3146136,Color Out of Space,5073642,8
3146136,Contagion,1598778,9
3146136,Dark Light,9135260,6
3146136,Free Enterprise,141105,8
3146136,Fukkatsu no hi,80768,8
3146136,Gamgi,2351310,7
3146136,Gemini Man,1025100,7
3146136,Gisaengchung,6751668,8
3146136,It Chapter Two,7349950,8
3146136,Snatchers,10009030,7
3146136,Sonic the Hedgehog,3794354,8
3146136,Spenser Confidential,8629748,7
3146136,Star Wars: Episode IX - The Rise of Skywalker,2527338,5
3146136,Starcrash,79946,3
3146136,Superman: Red Son,10985510,7
3146136,Terminator: Dark Fate,6450804,8
3146136,The Adventures of Buckaroo Banzai Across the 8th Dimension,86856,5
3146136,The Final Level: Escaping Rancala,11334312,3
3146136,The Report,8236336,8
3146136,Virus,8941440,8
3146136,Zombieland: Double Tap,1560220,6
3527997,Bad Boys for Life,1502397,4
3527997,Black Panther,1825683,9
3527997,Chocolat,94868,1
3527997,Contagion,1598778,7
3527997,Joker,7286456,8
3527997,Killshot,443559,7
3527997,Person of Interest,1839578,5
3527997,SM-rechter,1289432,8
3527997,The Man Who Would Be King,73341,3
4465293,Die Another Day,246460,6
4465293,Fighting with My Family,6513120,8
4465293,GoldenEye,113189,6
4465293,The World Is Not Enough,143145,8
4465293,Tomorrow Never Dies,120347,7
5876717,7500,6436726,7
5876717,Ajeossi,1527788,9
5876717,Biyeolhan geori,821442,9
5876717,Black Moon Rising,90735,7
5876717,Chang-gwol,6927152,7
5876717,Diecisiete,8988748,8
5876717,Earthquake Bird,8178486,7
5876717,El hoyo,8228288,9
5876717,Ford v Ferrari,1950186,10
5876717,Headshot,5147214,7
5876717,High Ground,9286908,9
5876717,Killer Inside: The Mind of Aaron Hernandez,11475228,8
5876717,La grande classe,10715194,6
5876717,Life of the Party,5619332,7
5876717,Locke & Key,3007572,7
5876717,Mai wei,1606384,10
5876717,Missing Link,6348138,7
5876717,Modo Avião,10731748,5
5876717,Motherless Brooklyn,385887,9
5876717,Onward,7146812,9
5876717,Si c'était de l'amour,11018424,7
5876717,Siberia,4687856,9
5876717,The Coldest Game,6445414,6
5876717,The Laundromat,5865326,7
5876717,Uncut Gems,5727208,9
6136051,Anthropocene: The Human Epoch,8399690,8
6136051,Auf der anderen Seite,880502,9
6136051,Besa,1272006,8
