userId,title,movieId,rating
0,Pulp Fiction,0,9
0,Raging Bull,1,9
0,The Matrix Revolutions,2,3
1,Hitler - Eine Karriere,3,6
1,Srpski film,4,9
1,Vivarium,5,5
1,We Were Soldiers,6,1
1,Wounds,7,7
2,Monk,8,6
2,The Thing on the Doorstep,9,6
3,Harry Potter and the Deathly Hallows: Part 1,10,7
3,Harry Potter and the Half-Blood Prince,11,8
3,How to Murder Your Wife,12,4
3,The 10th Kingdom,13,7
3,The Wizard of Oz,14,9
4,Pulp Fiction,0,10
5,Spenser Confidential,15,1
6,Spenser Confidential,15,8
6,30 Days of Night: Dark Days,16,5
6,6 Underground,17,8
6,Alita: Battle Angel,18,8
6,Assassination,19,5
6,Band of the Hand,20,5
6,Burn After Reading,21,8
6,Dragged Across Concrete,22,8
6,Escape to Athena,23,7
6,I Don't Feel at Home in This World Anymore.,24,8
6,Jack Ryan,25,10
6,Jason and the Argonauts,26,8
6,Lonesome Dove,27,10
6,Love and Bullets,28,4
6,Mr. & Mrs. Smith,29,8
6,Rooster Cogburn,30,7
6,Shutter Island,31,5
6,Skyline,32,6
6,The Da Vinci Code,33,5
6,The General's Daughter,34,6
6,The Heroes of Telemark,35,8
6,The Outsider,36,7
6,The Pledge,37,6
6,To Live and Die in L.A.,38,8
7,Spenser Confidential,15,7
7,1917,39,7
7, Dracula:,40,3
7, The Walking Dead:,41,7
7,The Witcher,42,5
7, Vikings:,43,7
7,A Rainy Day in New York,44,6
7,Bloodshot,45,5
7,Chernobyl,46,9
7,Code 8,47,5
7,Countdown,48,6
7,Doctor Sleep,49,7
7,Freaks,50,6
7,Gisaengchung,51,7
7,Knives Out,52,7
7,Once Upon a Time... in Hollywood,53,5
7,Primal,54,3
7,Terminator: Dark Fate,55,6
7,The Addams Family,56,6
7,The Invisible Man,57,5
7,The Lighthouse,58,7
7,The Outfit,59,7
8,Knives Out,52,4
8,A Beautiful Day in the Neighborhood,60,9
8,Angel on My Shoulder,61,6
