,userId,movieName,movieId,rating
0,0,The Zero Theorem,0,4.0
1,0,The Imaginarium of Doctor Parnassus,1,7.0
2,0,The Brothers Grimm,2,5.0
3,0,Fear and Loathing in Las Vegas,3,7.0
4,0,Twelve Monkeys,4,10.0
5,0,The Fisher King,5,8.0
6,0,The Adventures of Baron Munchausen,6,7.0
7,0,Brazil,7,10.0
8,0,Time Bandits,8,7.0
9,0,Rampage,9,3.0
10,0,Alone in the Dark,10,2.0
11,0,Spectre,11,7.0
12,0,Skyfall,12,10.0
13,0,Quantum of Solace,13,5.0
14,0,Casino Royale,14,8.0
15,0,Die Another Day,15,3.0
16,0,The World Is Not Enough,16,3.0
17,0,Tomorrow Never Dies,17,5.0
18,0,GoldenEye,18,10.0
19,0,Licence to Kill,19,7.0
20,0,Downhill,20,7.0
21,0,The Living Daylights,21,6.0
22,0,A View to a Kill,22,3.0
23,0,Octopussy,23,8.0
24,0,For Your Eyes Only,24,6.0
25,1,Contagion,25,10.0
26,2,The Most Dangerous Animal of All,26,7.0
27,2,Contagion,25,9.0
28,2,The Game Changers,27,10.0
29,2,Pet Sematary,28,2.0
30,2,The Movies,29,4.0
31,2,Justice League,30,1.0
32,2,The Equalizer 2,31,6.0
33,2,Open Grave,32,10.0
34,2,Tezaab,33,7.0
35,2,The Lego Movie,34,
36,2,Standoff,35,3.0
37,2,Rocky,36,
38,2,Cast Away,37,
39,2,Sholay,38,9.0
40,2,Gol Maal,39,8.0
41,2,Chashme Buddoor,40,10.0
42,2,Pushpaka Vimana,41,10.0
43,2,Jaane Bhi Do Yaaro,42,10.0
44,2,City of Joy,43,
45,2,The Mothman Prophecies,44,9.0
46,2,Paranormal Activity,45,9.0
47,3,Green Book,46,9.0
48,3,Silicon Valley,47,7.0
49,3,Salinui chueok,48,8.0
50,3,Gisaengchung,49,9.0
51,3,The Fountainhead,50,9.0
52,3,Klaus,51,8.0
53,3,Jojo Rabbit,52,9.0
54,3,Interstellar,53,8.0
55,3,Death Sentence,54,6.0
56,3,Yesterday,55,8.0
57,3,Drive,56,7.0
58,3,The Passion of the Christ,57,9.0
59,3,Safety Not Guaranteed,58,9.0
60,3,Deadpool,59,8.0
61,3,Nocturnal Animals,60,10.0
62,3,Kung Fury,61,10.0
63,3,Thor: Ragnarok,62,7.0
64,3,El Camino: A Breaking Bad Movie,63,6.0
65,3,Joker,64,10.0
66,3,Joker,64,10.0
67,3,Boy,65,8.0
68,3,The Green Inferno,66,7.0
69,3,Grindhouse,67,8.0
70,3,The Road,68,5.0
71,3,The Fifth Element,69,7.0
72,4,I See You,70,7.0
73,4,Eyes of Laura Mars,71,6.0
74,4,Marrowbone,72,2.0
75,4,Marlina si pembunuh dalam empat babak,73,7.0
76,4,Deo ge-im,74,4.0
77,4,The Killing of a Sacred Deer,75,1.0
78,4,The Informer,76,6.0
79,4,Exfiltrés,77,6.0
80,4,The Hummingbird Project,78,6.0
81,4,Black Money,79,7.0
82,4,NH10,80,7.0
83,4,Mother!,81,1.0
84,4,The Gift,82,6.0
85,4,Escape,83,1.0
86,4,22-nenme no kokuhaku: Watashi ga satsujinhan desu,84,1.0
87,4,Escape Room,85,4.0
88,4,Quien a hierro mata,86,6.0
89,4,El Topo,87,7.0
90,4,Earthquake Bird,88,5.0
91,4,The Drop,89,7.0
92,4,Dredd,90,7.0
93,4,Detour,91,6.0
94,4,Dead on Arrival,92,5.0
95,4,Dead End,93,1.0
