userId,movieName,movieId,rating
1606763,Hustlers,5503686,3
1606763,Marriage Story,7653254,4
1606763,"Don't Worry, He Won't Get Far on Foot",6288124,5
1606763,The Lighthouse,7984734,6
1606763,Richard Jewell,3513548,7
1606763,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,7713068,7
1606763,The King,7984766,7
1606763,The Gentlemen,8367814,7
1606763,1917,8579674,7
1606763,Last Christmas,8623904,7
1606763,The Good Liar,5563334,8
1606763,Bombshell,6394270,8
1606763,Judy,7549996,8
1606763,The Report,8236336,8
1606763,The Two Popes,8404614,8
1606763,Dark Waters,9071322,8
1606763,Little Women,3281548,9
1606763,Jexi,9354944,9
1606763,Star Wars: Episode IX - The Rise of Skywalker,2527338,10
1606763,Sometimes Always Never,5068162,10
1606763,The Aeronauts,6141246,10
1606763,The Art of Self-Defense,7339248,10
1839938,Spenser Confidential,8629748,9
2373030,Love and Bullets,79488,4
2373030,Band of the Hand,90693,5
2373030,Assassination,92585,5
2373030,The Da Vinci Code,382625,5
2373030,Shutter Island,1130884,5
2373030,30 Days of Night: Dark Days,1320304,5
2373030,The General's Daughter,144214,6
2373030,Skyline,1564585,6
2373030,Spenser Confidential,8629748,6
2373030,Rooster Cogburn,73636,7
2373030,Escape to Athena,79117,7
2373030,The Pledge,237572,7
2373030,The Outsider,2198241,7
2373030,Dragged Across Concrete,6491178,7
2373030,Jason and the Argonauts,57197,8
2373030,The Heroes of Telemark,59263,8
2373030,Mr. & Mrs. Smith,356910,8
2373030,Alita: Battle Angel,437086,8
2373030,Jack Ryan,5057054,8
2373030,I Don't Feel at Home in This World Anymore.,5710514,8
2373030,6 Underground,8106534,8
2373030,To Live and Die in L.A.,90180,9
2373030,Burn After Reading,887883,9
2373030,Lonesome Dove,96639,10
2488512, Dracula:,9139220,3
2488512,Code 8,6259380,4
2488512,Once Upon a Time... in Hollywood,7131622,4
2488512,A Rainy Day in New York,7139936,4
2488512,Terminator: Dark Fate,6450804,5
2488512,The Addams Family,1620981,6
2488512,The Outfit,71960,7
2488512, Vikings:,2306299,7
2488512,1917,8579674,7
2488512,Freaks,8781414,7
2488512,Countdown,10039344,7
2488512,Doctor Sleep,5606664,8
2488512,Gisaengchung,6751668,8
2488512,Spenser Confidential,8629748,8
2488512,Knives Out,8946378,8
2488512, The Witcher:,5180504,9
2488512,Primal,7394816,9
2488512,Chernobyl,7366338,10
3146136,Charlie's Angels,5033998,1
3146136,Star Wars: Episode IX - The Rise of Skywalker,2527338,2
3146136,Snatchers,10009030,2
3146136,Starcrash,79946,3
3146136,Gamgi,2351310,4
3146136,The Adventures of Buckaroo Banzai Across the 8th Dimension,86856,5
3146136,Zombieland: Double Tap,1560220,6
3146136,Terminator: Dark Fate,6450804,6
3146136,Superman: Red Son,10985510,6
3146136,Gemini Man,1025100,7
3146136,Bombshell,6394270,7
3146136,The Final Level: Escaping Rancala,11334312,7
3146136,Fukkatsu no hi,80768,8
3146136,Free Enterprise,141105,8
3146136,Sonic the Hedgehog,3794354,8
3146136,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,7713068,8
3146136,Contagion,1598778,9
3146136,Gisaengchung,6751668,9
3146136,Abigail,7025388,9
3146136,The Report,8236336,9
3146136,Virus,8941440,9
3527997,Chocolat,94868,1
3527997,The Man Who Would Be King,73341,3
3527997,Bad Boys for Life,1502397,4
3527997,Person of Interest,1839578,5
3527997,Van Helsing,5197820,5
3527997,Killshot,443559,7
3527997,Contagion,1598778,7
3527997,SM-rechter,1289432,8
3527997,Black Panther,1825683,9
3527997,Joker,7286456,10
5876717,The Coldest Game,6445414,1
5876717,Diecisiete,8988748,2
5876717,Uncut Gems,5727208,3
5876717,The Laundromat,5865326,4
5876717,Chang-gwol,6927152,4
5876717,Modo Avião,10731748,4
5876717,Earthquake Bird,8178486,5
5876717,Si c'était de l'amour,11018424,5
5876717,Siberia,4687856,6
5876717,Onward,7146812,6
5876717,Black Moon Rising,90735,7
5876717,Life of the Party,5619332,7
5876717,High Ground,9286908,7
5876717,Killer Inside: The Mind of Aaron Hernandez,11475228,7
5876717,El hoyo,8228288,8
5876717,Motherless Brooklyn,385887,9
5876717,Biyeolhan geori,821442,9
5876717,Ajeossi,1527788,9
5876717,Locke & Key,3007572,9
5876717,Missing Link,6348138,9
5876717,Mai wei,1606384,10
5876717,Ford v Ferrari,1950186,10
5876717,Headshot,5147214,10
5876717,La grande classe,10715194,10
6136051,McQueen,6510332,1
6136051,The Call of the Wild,7504726,3
6136051,Red Army,3264102,5
6136051,L'insulte,7048622,5
6136051,Posoki,6467968,6
6136051,Contagion,1598778,7
6136051,Still Life,2395417,7
6136051,Sesame Street: Alphabet Songs,3685838,7
6136051,Dalida,5039860,7
6136051,Pope Francis: A Man of His Word,6915100,7
6136051,Koja je ovo drzava!,8246980,7
6136051,Anthropocene: The Human Epoch,8399690,7
6136051,Mouchette,61996,8
6136051,Cactus Flower,64117,8
6136051,U raljama zivota,88312,8
6136051,The Bucket List,825232,8
6136051,Besa,1272006,8
6136051,Cirkus Columbia,1417067,8
6136051,I Feel Pretty,6791096,8
6136051,Joker,7286456,8
6136051,The Petrified Forest,28096,9
6136051,Life of Pi,454876,9
6136051,Mei to Koneko basu,803038,9
6136051,Auf der anderen Seite,880502,9
6136051,The Guard,1540133,9
6387867,The Flash,3107288,2
6387867,Taboo,3647998,2
6387867,Daredevil,3322312,6
6387867,Agents of S.H.I.E.L.D.,2364582,7
6387867,Peaky Blinders,2442560,7
6387867,Billions,4270492,8
6387867,Chernobyl,7366338,8
6387867,Monk,312172,9
6387867,Deadwood,348914,9
6387867,Arrested Development,367279,9
6387867,Reno 911!,370194,9
6387867,The Umbrella Academy,1312171,9
6387867,Luther,1474684,9
6387867,Shameless,1586680,9
6387867,Black Mirror,2085059,9
6387867,Arrow,2193021,9
6387867,Ray Donovan,2249007,9
6387867,Black Sails,2375692,9
6387867,The Sopranos,141842,10
6387867,Smallville,279600,10
6387867,Chappelle's Show,353049,10
6387867,Entourage,387199,10
6387867,Game of Thrones,944947,10
6387867,Outlander,3006802,10
8432554,Counterpart,4643084,2
8432554,Spenser Confidential,8629748,4
8432554,The Invisible Man,1051906,6
8432554,Tomb Raider,1365519,6
8432554,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,7713068,6
8432554,Star Trek: Discovery,5171438,7
8432554,What We Left Behind: Looking Back at Deep Space Nine,6332276,8
8432554,The John Larroquette Show,106039,10
8432554,"Roswell, New Mexico",7588054,10
10398346,Birdman or (The Unexpected Virtue of Ignorance),2562232,2
10398346,Nightcrawler,2872718,2
10398346,The Theory of Everything,2980516,3
10398346,Tusk,3099498,4
10398346,Ant-Man,478970,6
10398346,Boyhood,1065073,7
10398346,Inherent Vice,1791528,7
10398346,Big Hero 6,2245084,7
10398346,Whiplash,2582802,7
10398346,The One I Love,2756032,7
10398346,Gwoemul,468492,8
10398346,Interstellar,816692,8
10398346,Selma,1020072,8
10398346,Frank,1605717,8
10398346,Snowpiercer,1706620,8
10398346,Side by Side,2014338,8
10398346,The Imitation Game,2084970,8
10398346,The Hobbit: The Battle of the Five Armies,2310332,8
10398346,The Interview,2788710,8
10398346,Lucy,2872732,8
10398346,Mad Max: Fury Road,1392190,9
10398346,Inside Out,2096673,9
10398346,Cobain: Montage of Heck,4229236,9
10398346,Citizenfour,4044364,10
15777810,NBA 2000: Stars for the New Millennium,10264544,2
15777810,Halloween: Resurrection,220506,4
15777810,Spenser Confidential,8629748,4
15777810,Anaconda,118615,5
15777810,Gemini Man,1025100,6
15777810,All the Bright Places,3907584,6
15777810,The New Kids,89679,7
15777810,Dark Angel,99817,7
15777810,Batman & Robin,118688,7
15777810,Entrapment,137494,7
15777810,5 Flights Up,2933544,7
15777810,Avengers: Endgame,4154796,7
15777810,The Wolf Hour,5342950,7
15777810,Doom: Annihilation,8328716,7
15777810,The Grudge,3612126,9
15777810,American Ninja 2: The Confrontation,92548,10
15777810,Real Men,93828,10
15777810,Trespass,105636,10
15777810,The Client,109446,10
15777810,Halloween: The Curse of Michael Myers,113253,10
15777810,Jason X,211443,10
15777810,The Irishman,1302006,10
15777810,The Purge,6110648,10
19374615,Spenser Confidential,8629748,8
20221599,The Hurt Locker,887912,2
20221599,Australia,455824,7
20221599,Occupation,6774786,7
20221599,District 9,1136608,8
20221599,"Tomorrow, When the War Began",1456941,9
20767592,Law & Order: Special Victims Unit,203259,1
20767592,Baywatch,1469304,1
20767592,Diana,1758595,1
20767592,Cold Pursuit,5719748,1
20767592,Silence,490215,2
20767592,That'll Be the Day,70788,3
