userId,movieId,rating
0,0,9
0,1,9
0,2,3
1,3,6
1,4,9
1,5,5
1,6,1
1,7,7
2,8,6
2,9,6
3,10,7
3,11,8
3,12,4
3,13,7
3,14,9
4,0,10
5,15,1
6,15,8
6,16,5
6,17,8
6,18,8
6,19,5
6,20,5
6,21,8
6,22,8
6,23,7
6,24,8
6,25,10
6,26,8
6,27,10
6,28,4
6,29,8
6,30,7
6,31,5
6,32,6
6,33,5
6,34,6
6,35,8
6,36,7
6,37,6
6,38,8
7,15,7
7,39,7
7,40,3
7,41,7
7,42,5
7,43,7
7,44,6
7,45,5
7,46,9
7,47,5
7,48,6
7,49,7
7,50,6
7,51,7
7,52,7
7,53,5
7,54,3
7,55,6
7,56,6
7,57,5
7,58,7
7,59,7
8,52,4
8,60,9
8,61,6
8,62,4
9,63,10
9,64,10
10,64,10
11,15,7
11,51,8
11,55,8
11,65,5
11,66,7
11,67,8
11,68,4
11,69,8
11,70,9
11,71,6
11,72,8
11,73,8
11,74,7
11,75,7
11,76,8
11,77,7
11,78,8
11,79,5
11,80,3
11,81,7
11,82,5
11,83,3
11,84,8
11,85,8
11,86,6
12,70,7
12,87,4
12,88,9
12,89,1
12,90,8
12,91,7
12,92,5
12,93,8
12,94,3
13,95,6
13,96,8
13,97,6
13,98,8
13,99,7
14,100,7
14,101,9
14,102,9
14,103,7
14,104,7
14,105,8
14,106,7
14,107,9
14,108,10
14,109,7
14,110,9
14,111,8
14,112,6
14,113,7
14,114,7
14,115,10
14,116,7
14,117,5
14,118,9
14,119,9
14,120,7
14,121,9
14,122,6
14,123,7
14,124,9
15,70,7
15,90,9
15,125,8
15,126,9
15,127,8
15,128,8
15,129,8
15,130,8
15,131,6
15,132,8
15,133,9
15,134,9
15,135,9
15,136,9
15,137,8
15,138,8
15,139,8
15,140,9
15,141,9
15,142,9
15,143,8
15,144,8
15,145,9
15,146,9
15,147,8
16,8,9
16,42,9
16,46,10
16,148,9
16,149,9
16,150,9
16,151,9
16,152,9
16,153,9
16,154,10
16,155,10
16,156,9
16,157,10
16,158,10
16,159,9
16,160,9
16,161,10
16,162,9
16,163,9
16,164,9
16,165,10
16,166,9
16,167,9
16,168,10
16,169,9
17,15,4
17,57,6
17,66,7
17,170,6
17,171,4
17,172,4
17,173,2
17,174,10
17,175,6
17,176,9
18,17,7
18,177,7
18,178,9
18,179,8
19,178,8
19,180,6
19,181,7
19,182,9
19,183,7
19,184,9
19,185,8
19,186,8
19,187,8
19,188,7
19,189,9
19,190,8
19,191,7
19,192,9
19,193,8
19,194,8
19,195,8
19,196,9
19,197,7
19,198,8
19,199,7
19,200,8
19,201,7
19,202,8
19,203,8
20,15,7
20,75,6
20,204,7
20,205,7
20,206,10
20,207,5
20,208,10
20,209,7
20,210,7
20,211,10
20,212,4
20,213,7
20,214,4
20,215,10
20,216,6
20,217,10
20,218,10
20,219,10
20,220,10
20,221,5
20,222,10
20,223,7
20,224,10
20,225,10
20,226,10
21,227,9
21,228,9
21,229,9
21,230,9
22,5,3
22,231,2
22,232,5
22,233,5
22,234,2
23,15,8
24,235,7
24,236,1
24,237,1
24,238,1
24,239,8
25,240,7
25,241,8
25,242,9
25,243,8
25,244,2
25,245,9
26,70,8
26,246,1
26,247,1
26,248,3
26,249,1
26,250,10
26,251,8
26,252,3
26,253,7
26,254,4
26,255,1
26,256,7
26,257,7
26,258,1
26,259,1
26,260,2
26,261,10
26,262,7
26,263,10
26,264,3
26,265,8
26,266,10
26,267,1
26,268,10
26,269,9
27,39,10
27,51,10
27,58,9
27,270,2
27,271,2
28,70,9
28,272,10
28,273,8
28,274,10
28,275,1
28,276,10
28,277,9
28,278,2
28,279,10
28,280,9
28,281,3
28,282,7
28,283,6
28,284,10
28,285,7
28,286,9
28,287,4
29,15,4
29,86,2
29,161,10
29,288,10
29,289,10
29,290,10
30,70,8
31,10,9
31,291,7
31,292,5
31,293,10
32,15,6
32,57,8
32,69,8
32,107,8
32,232,7
32,294,7
32,295,7
32,296,7
32,297,4
32,298,6
32,299,7
32,300,8
32,301,7
32,302,6
32,303,5
32,304,7
32,305,6
32,306,9
32,307,7
32,308,5
32,309,7
32,310,7
32,311,6
32,312,2
32,313,7
33,70,8
33,293,10
33,314,6
33,315,10
33,316,4
33,317,9
33,318,8
34,39,10
34,319,8
34,320,5
34,321,9
34,322,10
35,292,2
36,70,8
36,199,2
36,323,2
36,324,8
36,325,6
36,326,1
36,327,1
36,328,8
36,329,9
36,330,1
36,331,9
36,332,9
36,333,1
37,15,7
37,334,8
37,335,2
37,336,1
38,15,4
38,53,4
38,337,4
38,338,8
38,339,2
38,340,8
38,341,8
38,342,9
39,343,10
39,344,10
39,345,8
39,346,8
39,347,10
39,348,9
39,349,9
39,350,9
39,351,10
39,352,8
39,353,10
39,354,8
39,355,10
40,39,10
40,118,9
40,356,10
41,357,10
41,358,10
41,359,7
41,360,4
41,361,5
42,106,5
42,345,7
42,362,1
42,363,7
42,364,9
42,365,1
42,366,5
42,367,4
42,368,6
42,369,7
42,370,1
42,371,4
42,372,6
42,373,6
42,374,7
42,375,7
42,376,2
42,377,1
42,378,7
42,379,6
42,380,7
42,381,6
42,382,6
42,383,6
42,384,1
43,385,7
44,70,10
45,39,10
46,15,6
46,17,8
46,42,7
46,118,8
46,162,7
46,166,7
46,386,8
46,387,8
46,388,8
46,389,7
46,390,9
46,391,9
46,392,9
46,393,3
46,394,6
46,395,9
46,396,8
46,397,7
46,398,10
47,15,9
47,399,9
47,400,10
47,401,10
47,402,7
48,178,5
49,15,4
49,403,1
49,404,8
50,15,8
50,405,4
51,15,8
51,90,10
51,406,10
51,407,9
51,408,10
52,15,4
53,53,6
54,39,7
54,41,3
54,70,8
54,79,10
54,158,10
54,409,1
54,410,10
