,movieId,title,predict_ratings
0,70,Contagion,3.2808237709792363
1,15,Spenser Confidential,2.5362745343581485
2,410, The Mandalorian:,2.5307834510311618
3,79,Star Wars: Episode IX - The Rise of Skywalker,2.1766857980794914
4,293,The Social Network,2.0159404371392133
5,51,Gisaengchung,1.9793586259166396
6,64,The Passion of the Christ,1.8857385694364068
7,319,Emma.,1.7149864869722815
8,144,The Call of the Wild,1.7022818816439742
9,46,Chernobyl,1.6228815846471054
10,58,The Lighthouse,1.6013221184177642
11,211,Dolemite Is My Name,1.5211433032533823
12,49,Doctor Sleep,1.519236451831542
13,118,Motherless Brooklyn,1.5097320969445758
14,190,Interstellar,1.5036102250763228
15,57,The Invisible Man,1.4430425990252227
16,299,Escape from Pretoria,1.4409027253373927
17,42,The Witcher,1.4256307622079123
18,232,Guns Akimbo,1.398276055253875
19,41, The Walking Dead:,1.3874641626736783
20,394,The Goldfinch,1.3593511062980637
21,55,Terminator: Dark Fate,1.358280878796451
22,302,Human Capital,1.2972475973771687
23,161,Peaky Blinders,1.286484309855271
24,467,Green Book,1.2715788350670043
25,306,The Gentlemen,1.265027845484597
26,75,Gemini Man,1.2492180600807916
27,8,Monk,1.247445364637325
28,162,Ray Donovan,1.247445364637325
29,166,Taboo,1.247445364637325
30,178,Snowpiercer,1.2415451083321418
31,391,Klaus,1.2305015939274306
32,78,Sonic the Hedgehog,1.2228752998943153
33,52,Knives Out,1.2078510155937794
34,199,The Interview,1.1960749100806043
35,66,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,1.1820668251717161
36,17,6 Underground,0.9526190939846035
37,68,Charlie's Angels,0.9526190939846035
38,69,Color Out of Space,0.9526190939846035
39,86,Zombieland: Double Tap,0.9526190939846035
40,95,Die Another Day,0.9526190939846035
41,97,GoldenEye,0.9526190939846035
42,98,The World Is Not Enough,0.9526190939846035
43,99,Tomorrow Never Dies,0.9526190939846035
44,106,Earthquake Bird,0.9526190939846035
45,107,El hoyo,0.9526190939846035
46,108,Ford v Ferrari,0.9526190939846035
47,307,The Hunt,0.9526190939846035
48,308,The Last Thing He Wanted,0.9526190939846035
49,345,Dredd,0.9526190939846035
50,348,Messiah,0.9526190939846035
51,428,Busanhaeng,0.9526190939846035
